vacation;400;400;400;500
for_begin;1500;1500;1600;2000
for_micro;2500;2600;2900;3500
for_small;3600;3600;4200;5000
75;4900;5000;5800;6900
for_active;6300;6300;7400;8700
125;7600;7600;9000;10600
150;9000;9000;10600;12500
175;10300;10300;12200;14400
200;11600;11700;13800;16200
300;14300;14300;17000;20000
400;19700;19700;23400;27500
500;25000;25100;29900;35000

0_3;400;400;400;500
4_10;1500;1500;1600;2000
11_30;2500;2600;2900;3500
31_50;3600;3600;4200;5000
51_75;4900;5000;5800;6900
76_100;6300;6300;7400;8700
101_125;7600;7600;9000;10600
126_150;9000;9000;10600;12500
151_175;10300;10300;12200;14400
176_200;11600;11700;13800;16200
201_300;14300;14300;17000;20000
301_400;19700;19700;23400;27500
401_500;25000;25100;29900;35000

restore_0_10;1500;1500;1600;2000
restore_11_30;2500;2600;2900;3500
restore_31_50;3600;3600;4200;5000
restore_51_75;4900;5000;5800;6900
restore_76_100;6300;6300;7400;8700
restore_101_125;7600;7600;9000;10600
restore_126_150;9000;9000;10600;12500
restore_151_175;10300;10300;12200;14400
restore_176_200;11600;11700;13800;16200
restore_201_300;14300;14300;17000;20000
restore_301_400;19700;19700;23400;27500
restore_401_500;25000;25100;29900;35000
restore_501_600;33100;33100;51350;60060
